source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
"After the invention of phone and internet, there are more ways to use to communicate with people and even track people.","After the invention of the phone and internet, there are more ways to communicate with people and even track people.","4,3,3,2,4","4,3,3,2,3","4,2,3,3,4",transformer,3.2,3.0,3.2
All passengers and pilots were died.,All passengers and aircraft died.,"3,2,2,3,2","3,3,2,2,2","2,2,2,1,1",transformer,2.4,2.4,1.6
Ageing problem is in essence a problem of worsening bodies.,The aging problem is an essence of the problem of declining bodies.,"3,3,3,3,2","4,4,3,3,2","4,3,3,3,4",transformer,2.8,3.2,3.4
"As the standard of living increases, the affordability of high quality healthcare services and medical technologies, which have advanced over the decades, among the general public has become increasingly available.","As the standard of living increases, the capacity of high quality healthcare services and medical technologies, which have advanced over the decades, among the general public has become increasingly available.","3,3,3,2,3","3,3,3,2,2","4,2,3,2,4",lstm,2.8,2.6,3.0
This is due to the improvements and breakthroughs in the realm of medication and people's living condition.,This is due to the improvements and breakthroughs in the realm of medication and people's living conditions.,"4,3,3,3,4","4,3,3,3,3","4,4,3,3,4","smt,copy-net,cnn",3.4,3.2,3.6
"They may die for hunger, die from illness or just went to bed as usual but never waked again.","They may die for hunger, die from illness or just went to bed as usual but never woke again.","4,2,2,3,2","4,2,2,3,2","4,2,2,3,4",cnn,2.6,2.6,3.0
"The advanced technology has helped us to live longer, but the limited resource on earth is also a big challenge.","The advanced technology has helped us to live longer, but the limited resources on earth is also a big challenge.","4,3,3,3,4","4,3,3,4,4","4,4,3,2,4",lstm,3.4,3.6,3.4
The more exercise or any other forms of work out can prolong the lifespan of people.,The more exercise or any other forms of work can prolong the lifespan of people.,"4,3,2,2,3","4,3,2,2,2","4,3,2,2,4",lstm,2.8,2.6,3.0
"So, in the following, I will clarify these two different views for rising life expectancies.","So, in the following, I will clarify these two different views for rising life expectancies.","4,3,3,4,4","4,3,3,4,4","4,4,3,4,4","smt,lstm,cnn",3.6,3.6,3.8
"However, disadvantages have also been gradually disappeared as with the fruits people are enjoying.","However, disadvantages have also been gradually disappear as the fruit people are enjoying.","3,3,2,1,2","3,2,2,2,2","4,2,2,2,4",smt,2.2,2.2,2.8
"On the other hand, the birth rate in many countries keeps decreasing, whose figure is the lowest record comparing to previous figure.","On the other hand, the birth rate in many countries keeps decreasing, whose figure is the lowest record compared to the previous figure.","4,2,2,3,2","4,2,2,3,2","4,3,2,3,4",lstm,2.6,2.6,3.2
"No matter what measures they take, the population ageing still remains a serious problem and that is where the challenge lies.","No matter what measures they take, the ageing population still remains a serious problem and that is where the challenge lies.","4,4,3,3,4","4,4,3,3,3","4,2,3,3,4",transformer,3.6,3.4,3.2
"In the past, when people injured or fall into sickness, there is no guarantee that the people will get well treatment and fully recovered, therefore people can easily die by infected of a small disease.","In the past, when people injured or fell into sickness, there was no guarantee that the people would get well treatment and fully recovered, therefore people could easily die from the infection of a small disease.","3,2,3,2,3","3,2,3,1,2","4,2,3,2,4",transformer,2.6,2.2,3.0
In the modern society privacy is a hot topic in peoples' mind.,"In modern society, privacy is a hot topic in people's minds.","4,4,3,4,4","4,4,3,4,4","4,3,3,2,4",cnn,3.8,3.8,3.2
"Moreover, as we use up more and more resources, what we have left may not enough for us to live on if we do not have enough human resource to do research of developing new technology.","Moreover, as we use up more and more resources, what we have left may not enough for us to live on if we do not have enough human resources to do research on developing new technology.","3,2,3,2,3","3,2,3,2,2","4,3,3,3,4",smt,2.6,2.4,3.4
Police can put tags on those that have potential intention to commit crime.,Police can put tags on those that have potential intention to commit crime.,"4,3,3,3,3","4,3,3,3,2","4,4,4,4,4","smt,copy-net,transformer",3.2,3.0,4.0
"However, besides tracking goods for people, people begin to use this technology to track people.","However, besides tracking goods for people, people begin to use this technology to track people.","4,2,2,3,3","4,3,2,3,2","4,4,2,4,4","smt,cnn",2.8,2.8,3.6
There is only 10% of all the time of successfully pinpointed the kidnappers den and arrested all of them before they starts to harm the poor victim.,There is only 10% of all the time of successfully pinching the kidnappers den and arrested all of them before they started to harm the poor victim.,"1,1,2,2,3","1,1,2,1,3","2,3,3,3,3",cnn,1.8,1.6,2.8
"Before people find another planet to live, the earth is the only habitat for us, and hence the limit of its capacity to support livings, it is the limit of the quantity of people that can live.","Before people find another planet to live, the earth is the only habitat for us, and hence the limit of its capacity to support living, it is the limit of the quantity of people that can live.","2,3,3,2,3","1,3,3,3,4","2,3,3,3,3","copy-net,cnn",2.6,2.8,2.8
It is undeniable that technology has made ours lives and works easier and more efficient.,It is undeniable that technology has made our lives and works easier and more efficiently.,"3,3,4,3,3","2,4,4,3,3","2,3,3,4,3",transformer,3.2,3.2,3.0
Every technology is born with its advantages and its shortcomings just like nuclear power or weapons.,Every technology is born with its advantages and its shortcomings just like nuclear power or weapons.,"4,4,4,3,2","4,4,4,3,3","4,4,4,4,3","smt,lstm,copy-net,transformer,cnn",3.4,3.6,3.8
In supermarket monitor is needed because we have to track thieves.,In the supermarket monitor it is needed because we have to track thieves.,"4,4,3,3,3","3,4,3,3,3","3,3,3,3,3",transformer,3.4,3.2,3.0
"Firstly, knowing where the travelers are and may going can assist them to know what the surroundings will be like and they can prepare better to protect themselves or they can change directions to avoid the potential danger.","Firstly, knowing where the travelers are and may assist them to know what the surroundings will be like and they can prepare better to protect themselves or they can change directions to avoid the potential danger.","1,3,3,2,2","1,3,3,1,3","2,3,3,2,3",lstm,2.2,2.2,2.6
"In spite of that, people should aware that the power of science is not almighty, life will still go to their last page without revelation.","In spite of that, people should be aware that the power of science is not aldivine, life will still go to their last page without declaration.","3,3,4,3,3","2,4,4,3,3","2,3,3,3,3",transformer,3.2,3.2,2.8
"On the other hand, people demand better quality of service and advanced technology such as newer I-Pad model.","On the other hand, people demand better quality of service and advanced technology such as newer I-Pad models.","4,4,4,3,2","4,4,4,3,3","3,3,4,4,3","smt,lstm,copy-net",3.4,3.6,3.4
"With the existing of experience, we can do the work more quickly without sacrifice the standard and quality.","With the existing of experience, we can do work more quickly without sacrifice the standard and quality.","2,3,3,1,3","1,3,4,2,3","4,4,3,0,3",transformer,2.4,2.6,3.5
Ever imagine one day that no natural resources are left what will be the life of our next generation.,Everimagine one day that no natural resources are left what will be the life of our next generation.,"1,3,2,2,2","1,3,3,2,3","3,3,3,4,3",smt,2.0,2.4,3.2
RFID is also functional in police events.,RFID is also functional in police events.,"4,4,4,4,3","4,4,4,3,4","4,4,4,4,3","smt,lstm,copy-net,transformer,cnn",3.8,3.8,3.8
"Compared to the human implant, tags on the products is better and more suitable.","Compared to human implant, tags on products is better and more suitable.","2,4,4,3,3","2,4,4,3,3","3,3,3,3,3",smt,3.2,3.2,3.0
"Other diseases such as mental disorder and heart trouble are also top killers, the current medication does have methods to treat the patient, but risks still come along.","Other diseases such as mental disorders and heart problems are also top killers, current medication does have methods to treat patients, but risks still come along.","3,4,4,4,3","2,4,4,4,4","2,3,3,3,3",smt,3.6,3.6,2.8
"In conclusion, what I have mentioned above, we have to agree, tracking system has many benefits in different parts in humans life especially in this modern world.","In conclusion, what I have mentioned above, we have to agree, the tracking system has many benefits in different parts of human life, especially in this modern world.","2,4,4,2,2","1,4,4,2,3","3,3,3,3,3",cnn,2.8,2.8,3.0
Surveillance technology such as Radio-Frequency Identification (RFID) to track the population is potentially is dangerous weapon by the governments against its own people.,Surveillance technology such as Radio-Frequency Identification (RFID) to track the population is potentially is a dangerous weapon by the governments against its own people.,"1,3,4,3,2","1,3,4,2,3","3,4,3,3,2",cnn,2.6,2.6,3.0
"As an overall, the rising life expectancies can be considered as a pro and con to the country.","Overall, the rising life expectancies can be considered as a pro and con to the country.","3,4,4,3,3","2,4,4,3,3","2,3,3,3,3",transformer,3.4,3.2,2.8
